"Run6",234,11
"Run6",376,3
"Run6",438,3
"Run6",343,3
"Run6",380,10
"Run6",334,3
"Run6",397,12
"Run6",223,32
"Run6",266,11
"Run6",414,20
"Run6",436,10
"Run6",443,9
"Run6",295,6
"Run6",238,7
"Run6",366,2
"Run6",428,10
"Run6",437,6
"Run6",412,10
"Run6",429,3
"Run6",331,9
"Run6",418,2
"Run6",367,6
"Run6",250,5
"Run6",275,3
"Run6",299,3
"Run6",300,3
"Run6",446,1
"Run6",262,5
"Run6",341,5
"Run6",409,8
"Run6",332,2
"Run6",256,4
"Run6",434,14
"Run6",297,7
"Run6",368,2
"Run6",402,40
"Run6",301,10
"Run6",369,11
"Run6",278,22
"Run6",387,2
"Run6",330,1
"Run6",358,1
"Run6",399,15
"Run6",458,5
"Run6",339,12
"Run6",235,36
"Run6",431,8
"Run6",463,54
"Run6",302,13
"Run6",226,13
"Run6",248,10
"Run6",422,3
"Run6",344,36
"Run6",231,6
"Run6",383,3
"Run6",342,10
"Run6",292,14
"Run6",398,1
"Run6",270,3
"Run6",313,3
"Run6",218,2
"Run6",265,8
"Run6",229,2
"Run6",355,1
"Run6",442,3
"Run6",249,10
"Run6",374,3
"Run6",280,7
"Run6",304,8
"Run6",317,3
"Run6",257,9
"Run6",298,20
"Run6",357,21
"Run6",420,1
"Run6",243,3
"Run6",328,3
"Run6",430,10
"Run6",403,16
"Run6",426,8
"Run6",322,1
"Run6",276,4
"Run6",454,2
"Run6",217,12
"Run6",333,3
"Run6",453,11
"Run6",244,3
"Run6",309,9
"Run6",384,1
"Run6",421,4
"Run6",457,5
"Run6",237,4
"Run6",364,4
"Run6",274,1
"Run6",319,15
"Run6",406,2
"Run6",456,1
"Run6",424,13
"Run6",359,14
"Run6",225,3
"Run6",216,3
"Run6",293,1
"Run6",303,10
"Run6",314,5
"Run6",247,1
"Run6",264,2
"Run6",379,3
"Run6",411,1
"Run6",311,9
"Run6",375,6
"Run6",425,3
"Run6",289,1
"Run6",239,1
"Run6",464,2
"Run6",410,1
"Run6",460,3
"Run6",327,3
"Run6",246,1
"Run6",284,3
"Run6",459,7
"Run6",461,1
"Run6",382,2
"Run6",258,3
"Run6",433,8
"Run6",404,3
"Run6",242,1
"Run6",439,2
"Run6",378,2
"Run6",288,4
"Run6",219,1
"Run6",310,12
"Run6",452,2
